"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"34","New Jersey","34001000100","Atlantic County, NJ - 34001000100","2021","0.36","",
"34","New Jersey","34001000200","Atlantic County, NJ - 34001000200","2021","0.13","",
"34","New Jersey","34001000300","Atlantic County, NJ - 34001000300","2021","0.24","",
"34","New Jersey","34001000400","Atlantic County, NJ - 34001000400","2021","0.10","",
"34","New Jersey","34001000500","Atlantic County, NJ - 34001000500","2021","0.20","",
"34","New Jersey","34001001100","Atlantic County, NJ - 34001001100","2021","0.37","",
"34","New Jersey","34001001200","Atlantic County, NJ - 34001001200","2021","0.40","",
"34","New Jersey","34001001300","Atlantic County, NJ - 34001001300","2021","0.30","",
"34","New Jersey","34001001400","Atlantic County, NJ - 34001001400","2021","0.34","",
"34","New Jersey","34001001500","Atlantic County, NJ - 34001001500","2021","0.34","",
"34","New Jersey","34001001900","Atlantic County, NJ - 34001001900","2021","0.14","",
"34","New Jersey","34001002300","Atlantic County, NJ - 34001002300","2021","0.16","",
"34","New Jersey","34001002400","Atlantic County, NJ - 34001002400","2021","0.16","",
"34","New Jersey","34001002500","Atlantic County, NJ - 34001002500","2021","0.24","",
"34","New Jersey","34001010101","Atlantic County, NJ - 34001010101","2021","0.25","",
"34","New Jersey","34001010102","Atlantic County, NJ - 34001010102","2021","0.22","",
"34","New Jersey","34001010104","Atlantic County, NJ - 34001010104","2021","0.26","",
"34","New Jersey","34001010105","Atlantic County, NJ - 34001010105","2021","0.26","",
"34","New Jersey","34001010200","Atlantic County, NJ - 34001010200","2021","0.43","",
"34","New Jersey","34001010300","Atlantic County, NJ - 34001010300","2021","0.60","",
"34","New Jersey","34001010401","Atlantic County, NJ - 34001010401","2021","0.73","",
"34","New Jersey","34001010403","Atlantic County, NJ - 34001010403","2021","0.68","",
"34","New Jersey","34001010501","Atlantic County, NJ - 34001010501","2021","0.42","",
"34","New Jersey","34001010503","Atlantic County, NJ - 34001010503","2021","0.72","",
"34","New Jersey","34001010505","Atlantic County, NJ - 34001010505","2021","0.37","",
"34","New Jersey","34001010506","Atlantic County, NJ - 34001010506","2021","0.70","",
"34","New Jersey","34001010600","Atlantic County, NJ - 34001010600","2021","0.70","",
"34","New Jersey","34001010700","Atlantic County, NJ - 34001010700","2021","0.73","",
"34","New Jersey","34001010800","Atlantic County, NJ - 34001010800","2021","0.67","",
"34","New Jersey","34001010900","Atlantic County, NJ - 34001010900","2021","0.67","",
"34","New Jersey","34001011000","Atlantic County, NJ - 34001011000","2021","0.65","",
"34","New Jersey","34001011100","Atlantic County, NJ - 34001011100","2021","0.64","",
"34","New Jersey","34001011201","Atlantic County, NJ - 34001011201","2021","0.68","",
"34","New Jersey","34001011202","Atlantic County, NJ - 34001011202","2021","0.74","",
"34","New Jersey","34001011300","Atlantic County, NJ - 34001011300","2021","0.66","",
"34","New Jersey","34001011401","Atlantic County, NJ - 34001011401","2021","0.73","",
"34","New Jersey","34001011403","Atlantic County, NJ - 34001011403","2021","0.73","",
"34","New Jersey","34001011404","Atlantic County, NJ - 34001011404","2021","0.72","",
"34","New Jersey","34001011500","Atlantic County, NJ - 34001011500","2021","0.77","",
"34","New Jersey","34001011600","Atlantic County, NJ - 34001011600","2021","0.73","",
"34","New Jersey","34001011701","Atlantic County, NJ - 34001011701","2021","0.64","",
"34","New Jersey","34001011702","Atlantic County, NJ - 34001011702","2021","0.64","",
"34","New Jersey","34001011802","Atlantic County, NJ - 34001011802","2021","0.71","",
"34","New Jersey","34001011803","Atlantic County, NJ - 34001011803","2021","0.61","",
"34","New Jersey","34001011804","Atlantic County, NJ - 34001011804","2021","0.61","",
"34","New Jersey","34001011805","Atlantic County, NJ - 34001011805","2021","0.74","",
"34","New Jersey","34001011900","Atlantic County, NJ - 34001011900","2021","0.57","",
"34","New Jersey","34001012000","Atlantic County, NJ - 34001012000","2021","0.47","",
"34","New Jersey","34001012100","Atlantic County, NJ - 34001012100","2021","0.23","",
"34","New Jersey","34001012200","Atlantic County, NJ - 34001012200","2021","0.55","",
"34","New Jersey","34001012302","Atlantic County, NJ - 34001012302","2021","0.64","",
"34","New Jersey","34001012401","Atlantic County, NJ - 34001012401","2021","0.63","",
"34","New Jersey","34001012402","Atlantic County, NJ - 34001012402","2021","0.59","",
"34","New Jersey","34001012501","Atlantic County, NJ - 34001012501","2021","0.58","",
"34","New Jersey","34001012502","Atlantic County, NJ - 34001012502","2021","0.60","",
"34","New Jersey","34001012602","Atlantic County, NJ - 34001012602","2021","0.52","",
"34","New Jersey","34001012701","Atlantic County, NJ - 34001012701","2021","0.54","",
"34","New Jersey","34001012702","Atlantic County, NJ - 34001012702","2021","0.46","",
"34","New Jersey","34001012801","Atlantic County, NJ - 34001012801","2021","0.50","",
"34","New Jersey","34001012802","Atlantic County, NJ - 34001012802","2021","0.33","",
"34","New Jersey","34001013000","Atlantic County, NJ - 34001013000","2021","0.24","",
"34","New Jersey","34001013101","Atlantic County, NJ - 34001013101","2021","0.20","",
"34","New Jersey","34001013102","Atlantic County, NJ - 34001013102","2021","0.14","",
"34","New Jersey","34001013201","Atlantic County, NJ - 34001013201","2021","0.26","",
"34","New Jersey","34001013202","Atlantic County, NJ - 34001013202","2021","0.21","",
"34","New Jersey","34001013301","Atlantic County, NJ - 34001013301","2021","0.26","",
"34","New Jersey","34001013302","Atlantic County, NJ - 34001013302","2021","0.19","",
"34","New Jersey","34001013500","Atlantic County, NJ - 34001013500","2021","0.29","",
"34","New Jersey","34001983400","Atlantic County, NJ - 34001983400","2021","0.71","",
"34","New Jersey","34001990000","Atlantic County, NJ - 34001990000","2021","0.04","",
